id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20471340,Chambre charmante 20m2/Charming room of 20 m2,7861814,Myriam,,Ixelles,50.82696,4.37909,Private room,30,2,2,2018-07-09,0.12,2,0
20486805,Bed and breakfast in Brussels,26744343,Sergio,,Auderghem,50.82044,4.41453,Private room,35,1,20,2018-09-10,0.75,3,262
20487812,"Cosy, calm room near EU Institutions, own shower",11683229,Davide,,Bruxelles,50.84617,4.37447,Private room,50,1,56,2019-11-18,2.92,1,227
20494178,Green paradise close to the city centre,146308389,Olivier,,Uccle,50.8011,4.32577,Private room,30,1,3,2017-09-11,0.11,1,206
20498870,A comfortable  apartment near Europe area .,40533997,Cecile,,Schaerbeek,50.84946,4.40439,Entire home/apt,65,1,131,2019-11-03,4.81,3,44
20500111,Studio near Schuman - Madou - Arts-Loi - T0D,5583501,Mealea,,Saint-Josse-ten-Noode,50.85053,4.37849,Entire home/apt,55,2,21,2019-08-09,0.77,26,326
20500353,Studio near Schuman - Madou - Arts-Loi - T1G,5583501,Mealea,,Saint-Josse-ten-Noode,50.85078,4.3788,Entire home/apt,55,2,19,2019-11-03,0.74,26,263
20504457,Pablo Appartement,146384875,Amhin,,Evere,50.86233,4.4171,Private room,60,1,8,2019-01-01,0.34,1,83
20513619,Chambre spacieuse a Uccle,108101343,Franck,,Uccle,50.81566,4.36421,Private room,200,7,0,,,1,363
20516949,Beautiful apartment with balcony,62294050,Laurie,,Woluwe-Saint-Lambert,50.84425,4.41666,Entire home/apt,89,1,2,2017-09-29,0.08,1,0
20516954,Jolie chambre sur le parc Josaphat,98580223,Sarah-Lise,,Schaerbeek,50.86227,4.37937,Private room,14,8,1,2017-09-13,0.04,2,0
20523319,Cosy room 10 min from the heart of Brussels,86672973,Koen,,Molenbeek-Saint-Jean,50.84821,4.32624,Private room,16,90,2,2018-05-31,0.09,8,140
20532345,Chambre Cosy au coeur de la ville,51671585,Aglaé,,Ixelles,50.8302,4.36891,Private room,20,2,0,,,1,0
20537009,TOP APARTMENT in the heart of EU District,65097074,Rob And Alex,,Etterbeek,50.83752,4.38124,Entire home/apt,60,1,191,2019-11-13,8.08,4,170
20541309,Big private room 10 min. from heart of Brussels,86672973,Koen,,Molenbeek-Saint-Jean,50.8482,4.32589,Private room,20,90,1,2018-07-31,0.06,8,140
20541326,Cosy room at 10 min. from the heart of Brussels,86672973,Koen,,Molenbeek-Saint-Jean,50.84911,4.32778,Private room,16,90,1,2018-06-30,0.06,8,79
20541558,Great apartment 10 min. from the heart of Brussels,86672973,Koen,,Molenbeek-Saint-Jean,50.84881,4.32732,Entire home/apt,46,90,0,,,8,140
20561606,Élégant appartement à Bruxelles Appartement trois,142178605,Jean-Luc,,Bruxelles,50.82843,4.36125,Entire home/apt,220,1,20,2019-09-26,0.75,6,264
20568393,"Studio near Ambiorix, Madou, Arts-Loi - T2G",5583501,Mealea,,Saint-Josse-ten-Noode,50.85247,4.37662,Entire home/apt,65,1,9,2019-08-18,0.45,26,262
20570071,"Studio near Ambiorix - Madou, Arts-Loi - T1D",5583501,Mealea,,Saint-Josse-ten-Noode,50.85046,4.378,Entire home/apt,59,1,9,2019-08-28,0.33,26,262
20570596,The place to be :),6207406,Breno,,Anderlecht,50.8406,4.33592,Entire home/apt,70,3,21,2019-11-05,0.77,2,336
20579390,Cosy & Sunny Appt in Altitude 100,133259192,Marine,,Forest,50.81568,4.33956,Entire home/apt,45,2,13,2018-10-07,0.54,1,0
20585032,Jolie chambre arty au calme et proche de tout.,147065917,Nath,,Saint-Gilles,50.83116,4.34866,Private room,40,2,86,2019-03-20,3.22,1,0
20600026,Beautiful & comfy 1 BR flat - Bxl center,19293722,Pauline Et Elliot,,Ixelles,50.81742,4.37791,Entire home/apt,65,3,54,2019-11-03,2.01,80,77
20602680,Kamer met mezzanine,32495539,Stephanie,,Ixelles,50.80794,4.39435,Private room,12,365,0,,,1,365
20602747,Luxury apartment 140m² with private terrace 160m²,147233652,Sunshine,,Molenbeek-Saint-Jean,50.85908,4.30826,Entire home/apt,150,1,1,2017-12-09,0.04,1,78
20610782,Appartement Bois de la Cambre,75847477,Alexandre,,Bruxelles,50.79859,4.39861,Entire home/apt,59,1,84,2019-10-22,3.12,1,147
20612837,Grande chambre lumineuse à St gilles,45136721,Domiziana,,Saint-Gilles,50.82595,4.3516,Private room,35,3,0,,,2,0
20614417,Appartement moderne et très lumineux à Bruxelles,142178605,Jean-Luc,,Ixelles,50.82679,4.36038,Entire home/apt,220,1,25,2019-11-17,0.99,6,253
20614851,Bel appartement moderne à Bruxelles - Apt cinq,142178605,Jean-Luc,,Bruxelles,50.82782,4.36215,Entire home/apt,230,1,21,2019-07-15,0.80,6,246
20622001,Cosy apartment for you alone (4-5 persons),147413307,Dieter,,Molenbeek-Saint-Jean,50.85017,4.30297,Entire home/apt,100,1,0,,,1,0
20622906,Room in designer style flat,138268173,Yann,,Forest,50.81579,4.34347,Private room,35,1,0,,,1,0
20629838,Cosy room with private bathroom in vibrant area,67558636,Alexis & Marie,,Ixelles,50.82434,4.37955,Private room,40,2,31,2018-10-18,1.19,1,0
20636801,Jolie maison proche du centre et quartier européen,16817952,Valérie,,Schaerbeek,50.85316,4.38166,Entire home/apt,120,3,10,2019-01-06,0.38,1,0
20636912,Chaleureux appartement à 10 min du centre ville,19724171,Alise,,Anderlecht,50.84523,4.3379,Entire home/apt,60,2,2,2018-01-28,0.09,1,0
20645238,Bel Appartement Lumineux Saint Gilles,142604091,Ornella,,Saint-Gilles,50.83135,4.34547,Entire home/apt,50,2,1,2017-09-27,0.04,1,0
20645253,Entire appartement!,147628226,Taby,,Ganshoren,50.87394,4.31314,Entire home/apt,50,2,6,2018-10-28,0.22,2,0
